id,confidence,recognized,detectedImage1,detectedImage2,responsetime
31,0.4748007864473896,1,1,1,9799
5,0.5400929163980737,1,1,1,9766
23,0.3704973196690961,1,1,1,693
14,0.4463762750684965,1,1,1,10468
35,0.424799748179294,1,1,1,10154
2,,0,1,0,0
22,,0,1,0,0
17,0.5224340695622214,1,1,1,9745
28,0.44836303427066065,1,1,1,9671
29,0.4346952147630259,1,1,1,10617
11,,0,1,0,0
38,0.4450785232913592,1,1,1,10373
15,0.40473693170288827,1,1,1,9738
26,,0,1,0,0
3,0.5068922056908298,1,1,1,10425
32,,0,1,1,0
24,0.48674915210136704,1,1,1,9921
16,0.45616928732289824,1,1,1,9738
37,0.46173279636776166,1,1,1,9740
18,,0,1,0,0
19,0.47667408212964835,1,1,1,9716
12,0.5102856931398592,1,1,1,9737
39,,0,1,0,0
13,0.39535598655772464,1,1,1,10383
36,0.5072527209130638,0,1,1,10814
1,0.4483865756954705,1,1,1,950
6,0.5293347133405368,1,1,1,10466
4,0.30837646794990387,1,1,1,10323
30,0.42905056568961164,1,1,1,11190
27,0.4076296363820585,1,1,1,10800
8,0.48140964426959926,0,1,1,10627
9,,0,1,0,0
34,0.38998906690834445,1,1,1,10716
7,0.5417415661784214,1,1,1,10653
10,,0,1,0,0
41,0.44771616158058297,1,1,1,13494
25,0.4986087120416964,1,1,1,10969
33,0.5057193436317695,1,1,1,9928
40,0.37559848040945243,1,1,1,9791
